Date,AMZN,NVDA,GOOGL,MSFT,FB,TSLA,AAPL,GOOG
2018-01-02,53890000,35561600,31766000,22483800,,65283000,102223600,24752000
2018-01-03,62176000,91470400,31318000,26061400,,67822500,118071600,28604000
2018-01-04,60442000,58326800,26052000,21912000,,149194500,89738400,20092000
2018-01-05,70894000,58012400,30250000,23407100,,68868000,94640000,25582000
2018-01-08,85590000,88121600,24644000,22113000,,147891000,82271200,20952000
2018-01-09,73226000,49700000,26808000,19484300,,107199000,86336000,18050000
2018-01-10,53720000,58266400,20734000,18652200,,64648500,95839600,20856000
2018-01-11,62500000,40603200,22424000,17808900,,99682500,74670800,19566000
2018-01-12,108874000,35991600,38586000,24271500,,72376500,101672400,34410000
2018-01-16,144414000,70234800,36462000,36599700,,97114500,118263600,31506000
2018-01-17,105076000,53840800,27830000,25621200,,106552500,137547200,24052000
2018-01-18,80538000,40863200,27498000,24159700,,85287000,124773600,23964000
2018-01-19,91570000,60938000,30552000,36875000,,73324500,129700400,35564000
2018-01-22,82802000,55094400,29550000,23601600,,93156000,108434400,32360000
2018-01-23,103386000,47522800,39138000,23412800,,81981000,130756400,26662000
2018-01-24,136150000,57997200,37128000,33277500,,79312500,204420400,28332000
2018-01-25,95060000,40988400,29984000,26383200,,101104500,166116000,29610000
2018-01-26,97146000,51635600,42170000,29172200,,68091000,156572000,40376000
2018-01-29,114038000,45511600,31494000,31569900,,71206500,202561600,27578000
2018-01-30,117438000,57083200,37338000,38635100,,70765500,184192800,31126000
2018-01-31,128494000,47857600,36022000,48756300,,93211500,129915600,30774000
2018-02-01,182276000,51922400,73514000,47227900,,62965500,188923200,48242000
2018-02-02,222514000,71846400,117842000,47867800,,55572000,346375200,97158000
2018-02-05,229900000,116520400,83550000,51031500,,66961500,290954000,75966000
2018-02-06,221336000,111480000,76630000,67998600,,76326000,272975200,68960000
2018-02-07,143254000,80293200,51942000,41107600,,104538000,206434400,47384000
2018-02-08,171572000,114400000,66792000,55628700,,154719000,217562000,57182000
2018-02-09,282830000,167460400,98360000,63499100,,194005500,282690400,70118000
2018-02-12,134778000,109317200,56240000,35720300,,93417000,243278000,41154000
2018-02-13,118358000,62552400,31586000,26407700,,68403000,130196800,25302000
2018-02-14,119184000,74498800,41304000,34960900,,59260500,162579600,31116000
2018-02-15,113054000,69890000,37396000,27823900,,88693500,204588800,36868000
2018-02-16,89452000,63765600,39948000,30596900,,84639000,160704400,33590000
2018-02-20,129984000,68624000,33754000,30911700,,60141000,135722000,28462000
2018-02-21,126088000,89229200,41486000,26922500,,48294000,149886400,30258000
2018-02-22,97162000,53436400,28010000,24392800,,104547000,123967600,26344000
2018-02-23,88362000,41530000,25292000,26329200,,87261000,135249600,25220000
2018-02-26,99100000,46931200,30912000,30199800,,65100000,152648800,31182000
2018-02-27,96176000,45543600,42964000,25869100,,71961000,155712400,35482000
2018-02-28,90300000,52311600,49292000,31167300,,91045500,151128400,37652000
2018-03-01,136704000,104012000,55338000,37135600,,103284000,195208000,50318000
2018-03-02,131752000,91342800,50162000,32830400,,76392000,153816000,45432000
2018-03-05,104678000,62077600,28648000,23901600,,57357000,113605600,24044000
2018-03-06,91234000,63680800,23382000,22175800,,64285500,95154000,30656000
2018-03-07,83482000,58120800,30748000,26716100,,75109500,126814000,25850000
2018-03-08,77252000,41191200,33862000,25887800,,53493000,95096400,27102000
2018-03-09,90686000,50552400,42662000,36937300,,82602000,128740800,42560000
2018-03-12,103484000,60506000,44306000,26073700,,123960000,128828400,43446000
2018-03-13,130638000,61977200,43140000,35387800,,89487000,126774000,38144000
2018-03-14,85188000,50549600,41870000,32132000,,119511000,117473600,25828000
2018-03-15,81394000,40195200,33382000,27611000,,98472000,90975200,27908000
2018-03-16,108500000,39945600,58656000,49081300,,91759500,157618800,61840000
2018-03-19,131616000,71377200,63656000,33344100,,112264500,133787200,56118000
2018-03-20,91632000,55469600,54598000,23075200,,71464500,78597600,36638000
2018-03-21,95016000,43868800,44898000,24457100,,89376000,148219600,37578000
2018-03-22,126412000,55119600,69312000,38604700,,74097000,165963200,53340000
2018-03-23,160120000,73562000,49880000,44068900,,99823500,164115200,43134000
2018-03-26,112494000,61142400,65984000,56396800,,125628000,150164800,53302000
2018-03-27,139992000,140900000,60816000,56569000,,208080000,163690400,61906000
