Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2018-01-02,53890000,31766000,22483800,102223600,24752000
2018-01-03,62176000,31318000,26061400,118071600,28604000
2018-01-04,60442000,26052000,21912000,89738400,20092000
2018-01-05,70894000,30250000,23407100,94640000,25582000
2018-01-08,85590000,24644000,22113000,82271200,20952000
2018-01-09,73226000,26808000,19484300,86336000,18050000
2018-01-10,53720000,20734000,18652200,95839600,20856000
2018-01-11,62500000,22424000,17808900,74670800,19566000
2018-01-12,108874000,38586000,24271500,101672400,34410000
2018-01-16,144414000,36462000,36599700,118263600,31506000
2018-01-17,105076000,27830000,25621200,137547200,24052000
2018-01-18,80538000,27498000,24159700,124773600,23964000
2018-01-19,91570000,30552000,36875000,129700400,35564000
2018-01-22,82802000,29550000,23601600,108434400,32360000
2018-01-23,103386000,39138000,23412800,130756400,26662000
2018-01-24,136150000,37128000,33277500,204420400,28332000
2018-01-25,95060000,29984000,26383200,166116000,29610000
2018-01-26,97146000,42170000,29172200,156572000,40376000
2018-01-29,114038000,31494000,31569900,202561600,27578000
2018-01-30,117438000,37338000,38635100,184192800,31126000
2018-01-31,128494000,36022000,48756300,129915600,30774000
2018-02-01,182276000,73514000,47227900,188923200,48242000
2018-02-02,222514000,117842000,47867800,346375200,97158000
2018-02-05,229900000,83550000,51031500,290954000,75966000
2018-02-06,221336000,76630000,67998600,272975200,68960000
2018-02-07,143254000,51942000,41107600,206434400,47384000
2018-02-08,171572000,66792000,55628700,217562000,57182000
2018-02-09,282830000,98360000,63499100,282690400,70118000
2018-02-12,134778000,56240000,35720300,243278000,41154000
2018-02-13,118358000,31586000,26407700,130196800,25302000
2018-02-14,119184000,41304000,34960900,162579600,31116000
2018-02-15,113054000,37396000,27823900,204588800,36868000
2018-02-16,89452000,39948000,30596900,160704400,33590000
2018-02-20,129984000,33754000,30911700,135722000,28462000
2018-02-21,126088000,41486000,26922500,149886400,30258000
2018-02-22,97162000,28010000,24392800,123967600,26344000
2018-02-23,88362000,25292000,26329200,135249600,25220000
2018-02-26,99100000,30912000,30199800,152648800,31182000
2018-02-27,96176000,42964000,25869100,155712400,35482000
2018-02-28,90300000,49292000,31167300,151128400,37652000
2018-03-01,136704000,55338000,37135600,195208000,50318000
2018-03-02,131752000,50162000,32830400,153816000,45432000
